place,lat,lon
Sydney,-33.865143,151.209900
Melbourne,-37.814,144.96332
Brisbane,-27.470125,153.021072
Adelaide,-34.921230,138.599503
Perth,-31.953512,115.857048
Hobart,-41.640079, 146.315918
Darwin,-12.462827,130.841782
Canberra,-35.28346,149.12807
